周期,日期,竞品品牌,追踪维度（单选）,事实描述,分析,信息源
45周,1762099200000,新华三,公司与战略,10 月 30 日，紫光股份有限公司发布《2025 年第三季度报告》：新华三前三季度营业收入达596.23亿元，同比增长48.07%；在行业整体利润空间受到挤压的背景下，新华三前三季度仍实现净利润25.29亿元，同比增长14.75%，在保持高速增长的同时兼顾了盈利能力提升。,营收点：以行业智能体为发力点加速应用落地，继在多地成功上线多个政府政务智能体、城轨智能体、教育智能体以来，进一步在政务治理、生产制造、质量检测等多个领域开拓出一条行业智能体可落地、可复制的发展路径,https://mp.weixin.qq.com/s/rqkjRg6FpcdwsxkSItLZUw
45周,1762099200000,新华三,产品与技术,新华三深化全栈液冷布局，为高密算力提供“冷静”保障,新华三集团全面布局液冷技术，覆盖冷板式与浸没式两大技术路线，2025年，新华三面向智能科学计算与人工智能计算领域，推出了两款液冷整机柜产品。其中，面向智能科学计算场景推出的高密液冷整机柜，采用1U2N高密度架构，单柜最高支持64个节点，液冷散热占比达75% - 80%；面向MoE大模型训推场景，新华三最新推出的H3C UniPoD S80000 超节点，单柜最高可配置64张AI加速卡，整柜最大功率达120千瓦，关键部件实现液冷散热，兼具高效与绿色特性。,https://mp.weixin.qq.com/s/B9Vrqolvu9p2QmwLruSFRQ
45周,1762099200000,新华三,市场与营销,新华三与银川市签约共建“图灵小镇”，助力西部“算力之都”构建AI全产业链生态,图灵小镇”项目总投资10亿元，建设算力调度平台、“人工智能+应用”基地、国产服务器制造基地等一平台三基地项目,https://mp.weixin.qq.com/s/QSAzoBrHcXaMXOU7d1UM4Q
45周,1762099200000,联想,市场与营销,"
10月31日，凭借混合式AI战略的加速落地，联想集团斩获2025年度鼎革奖最高级别奖项——评委会大奖。该奖项由联想集团内部包括供应链智能体iChain、乐享企业超级智能体、中国区智能体加速等九个AI创新项目共同获得，代表了业界对联想AI驱动企业创新路径的高度认可。",在 AI 基础平台之上，联想一方面面向全价值链打造混合式 AI 智能体，促使研发、生产、供应链、营销、服务等各环节实现智能协同；另一方面，通过面向员工的个人智能体，提升个体工作效率与体验。,https://mp.weixin.qq.com/s/f0jQ-1ZRrHtpmXaDTunlxw
45周,1762099200000,浪潮,市场与营销,浪潮中标工行30亿服务器大单，海光芯片成最大赢家,浪潮为中标主力，中兴、联想成为备选。显然，上述三家服务器整机方案全部基于国产海光芯片路线。有消息称，此次项目集采总金额高达30亿元,https://www.163.com/dy/article/KAPH4UGL0511838M.html
45周,1762099200000,浪潮,公司与战略,2025年三季度，浪潮信息营业收入达1206.69亿元,主营业务构成中，服务器产品营收752.86亿元，占比93.88%；存储类、交换类等产品营收48.37亿元，占比6.03%；其他营收6961.18万元，占比0.09%。当期净利润为14.89亿元，同样排名行业第1,https://pages.quark.cn/r/quark-newspaper-pc/detail?entry_from=search&from_page=search&x_render_type=SSR&uc_param_str=dnfrpfbivessbtbmnilauputogpintnwmtsvcppcprsnnnchmiccgiodaacameosipbd&wm_cid=716802617220535296
45周,1762099200000,浪潮,产品与技术,"2025人工智能计算大会上，浪潮信息连破两项纪录，让智能体产业化门槛一降再降！
一个是国内大模型最快Token生成速度：基于元脑SD200超节点AI服务器，DeepSeek R1大模型Token生成速度仅需8.9毫秒；另一个是百万Token成本首次击破1元，基于其最新发布的元脑HC1000超扩展AI服务器。",浪潮超节点AI服务器，在此之上DeepSeek R1的Token生成速度只需8.9毫秒，既实现国内大模型最快Token生成速度,https://mp.weixin.qq.com/s/yWKRBiuBPh55VFlV4qZljg
45周,1762099200000,华为,市场与营销,华为团队针对昇腾算力集群基础设施，提出了针对超节点高可用、集群线性度、万卡集群训练快速恢复、万亿MoE模型推理容错、集群故障感知及感知诊断、集群仿真建模、框架迁移等方面的全维度的创新方案。,所有技术都瞄准了万卡集群、千亿/万亿参数模型（尤其是MoE架构） 带来的前所未有的复杂性、可靠性、效率挑战。,https://mp.weixin.qq.com/s/tV2VwjGKe343AK46QDY9hA
45周,1762099200000,阿里,市场与营销,2025年第二季度阿里云市场份额为26.8%，连续五个季度上涨。2025年上半年阿里云IaaS份额为26.4%，同比提升0.8个百分点。,IDC报告显示，2025年上半年中国公有云IaaS市场总规模突破千亿大关，同比增速接近20%，疫情以来增速再创新高。本轮增长主要得益于AI大模型训练与推理需求的扩张、AI智能体的前沿实践，以及云厂商的战略性出海布局。,https://mp.weixin.qq.com/s/UeFuDAFafw4wiJSJH6rMeg
45周,1762099200000,阿里,市场与营销,阿里云发布：2025年AI超级公司白皮书,未来，AI超级公司以AI为底层生产力，深度整合人工智能技术，通过“产品/服务-组织/架构-基础/能力”三维度创新，实现效率、创新和竞争力的质变。,http://阿里云：2025年AI超级公司白皮书
